CMDLINE C:\Users\arisp\anaconda3\envs\port_opt_env\python.exe Full_test.py
MEM 2.082031 1758569819.5973
MEM 32.242188 1758569819.7001
MEM 51.734375 1758569819.8080
MEM 63.253906 1758569819.9166
MEM 75.820312 1758569820.0243
MEM 82.574219 1758569820.1312
MEM 89.332031 1758569820.2381
MEM 107.304688 1758569820.3462
MEM 125.132812 1758569820.4546
MEM 136.335938 1758569820.5622
MEM 149.328125 1758569820.6699
MEM 159.773438 1758569820.7770
MEM 209.707031 1758569820.8857
MEM 252.734375 1758569820.9935
MEM 259.675781 1758569821.0998
MEM 271.339844 1758569821.2053
MEM 274.277344 1758569821.3116
MEM 279.835938 1758569821.4191
MEM 282.769531 1758569821.5268
MEM 277.468750 1758569821.6351
MEM 277.578125 1758569821.7420
MEM 262.519531 1758569821.8488
MEM 275.218750 1758569821.9555
MEM 275.929688 1758569822.0639
MEM 275.929688 1758569822.1731
MEM 275.929688 1758569822.2815
MEM 277.269531 1758569822.3894
MEM 279.441406 1758569822.4979
MEM 279.441406 1758569822.6052
MEM 280.851562 1758569822.7129
MEM 282.113281 1758569822.8218
MEM 283.242188 1758569822.9300
MEM 286.289062 1758569823.0377
MEM 288.664062 1758569823.1469
MEM 287.597656 1758569823.2550
MEM 284.070312 1758569823.3623
MEM 286.453125 1758569823.4690
MEM 289.074219 1758569823.5743
MEM 292.398438 1758569823.6818
MEM 293.097656 1758569823.7891
MEM 293.437500 1758569823.8968
MEM 289.363281 1758569824.0053
MEM 287.156250 1758569824.1117
MEM 280.523438 1758569824.2193
MEM 282.257812 1758569824.3281
MEM 268.179688 1758569824.4367
MEM 268.179688 1758569824.5431
MEM 269.253906 1758569824.6508
MEM 276.683594 1758569824.7592
MEM 277.953125 1758569824.8665
MEM 279.621094 1758569824.9739
MEM 281.425781 1758569825.0814
MEM 282.187500 1758569825.1889
MEM 283.367188 1758569825.2962
MEM 289.035156 1758569825.4032
MEM 290.585938 1758569825.5109
MEM 292.253906 1758569825.6176
MEM 297.820312 1758569825.7251
MEM 299.121094 1758569825.8321
MEM 300.660156 1758569825.9332
MEM 302.703125 1758569826.0412
MEM 294.035156 1758569826.1467
MEM 290.195312 1758569826.2526
MEM 296.062500 1758569826.3592
MEM 300.582031 1758569826.4650
MEM 301.109375 1758569826.5711
MEM 303.710938 1758569826.6779
MEM 304.710938 1758569826.7858
MEM 304.542969 1758569826.8934
MEM 297.003906 1758569827.0002
MEM 299.199219 1758569827.1065
MEM 300.085938 1758569827.2113
MEM 301.375000 1758569827.3171
MEM 303.949219 1758569827.4298
MEM 304.394531 1758569827.5385
MEM 304.925781 1758569827.6441
MEM 303.160156 1758569827.7518
MEM 296.960938 1758569827.8584
MEM 299.921875 1758569827.9655
MEM 302.460938 1758569828.0735
MEM 305.292969 1758569828.1796
MEM 308.851562 1758569828.2888
MEM 308.085938 1758569828.3959
MEM 308.753906 1758569828.4978
MEM 308.093750 1758569828.6027
MEM 308.621094 1758569828.7100
MEM 308.542969 1758569828.8178
MEM 308.511719 1758569828.9247
MEM 308.425781 1758569829.0299
MEM 310.347656 1758569829.1372
MEM 313.140625 1758569829.2441
MEM 312.910156 1758569829.3505
MEM 312.687500 1758569829.4581
MEM 312.617188 1758569829.5654
MEM 312.554688 1758569829.6717
MEM 312.617188 1758569829.7776
MEM 312.980469 1758569829.8840
MEM 313.292969 1758569829.9903
MEM 314.410156 1758569830.0971
MEM 314.414062 1758569830.2036
MEM 315.410156 1758569830.3105
MEM 315.238281 1758569830.4184
MEM 315.156250 1758569830.5246
MEM 315.070312 1758569830.6300
MEM 315.042969 1758569830.7364
MEM 316.625000 1758569830.8432
MEM 317.785156 1758569830.9504
