submitted_date,tag_esef,classifications_code,document_date,source,type,lei,classifications,download_link,publication_date,seq_id,company_name,headline,type_code,isin,type_category,type_full
2025-09-24T19:10:35Z,,0.0,,EQS,Net Asset Value(s),213800ZJVX62TFHDGQ36,,https://data.fca.org.uk/artefacts/NSM/EQS/XHGERBJFFDQBAOJKLGLTTTLU.html,2025-09-24T19:10:35Z,XHGERBJFFDQBAOJKLGLTTTLU,,Amundi Smart Overnight Return UCITS ETF USD Hedged Acc: Net Asset Value(s),NAV,,,
2025-09-24T19:10:35Z,,0.0,,EQS,Net Asset Value(s),213800ZJVX62TFHDGQ36,,https://data.fca.org.uk/artefacts/NSM/EQS/ABBWUBKKWNIMVYIBHRBWNKDG.html,2025-09-24T19:10:35Z,ABBWUBKKWNIMVYIBHRBWNKDG,,Amundi Smart Overnight Return UCITS ETF GBP Hedged Acc: Net Asset Value(s),NAV,,,
2025-09-24T19:10:25Z,,0.0,,EQS,Net Asset Value(s),969500HTQQA2XGGEYB59,,https://data.fca.org.uk/artefacts/NSM/EQS/YMMHAVKYPHSXSCFLDMVQYVFL.html,2025-09-24T19:10:25Z,YMMHAVKYPHSXSCFLDMVQYVFL,,Amundi EUR Overnight Return UCITS ETF Acc: Net Asset Value(s),NAV,,,
2025-09-24T17:30:35Z,,0.0,,EQS,Transaction in Own Shares,213800C7ACOFMRCQQW76,,https://data.fca.org.uk/artefacts/NSM/EQS/JOIRUCNAEFKAUMVSOEIPFNEQ.html,2025-09-24T17:30:35Z,JOIRUCNAEFKAUMVSOEIPFNEQ,,"Fuller, Smith & Turner PLC: Transaction in own shares",POS,,,
2025-09-24T17:30:03Z,,0.0,,RNS,Final Announcement Released,,,https://data.fca.org.uk/artefacts/NSM/RNS/5834615.html,2025-09-24T17:30:03Z,5834615,,Final Announcement Released,EOD,,,
2025-09-24T17:17:00Z,,1.1,,PRN,Miscellaneous,213800HMBZXULR2EEO10,Annual financial and audit reports,https://data.fca.org.uk/artefacts/NSM/PRN/202509241317PR_NEWS_UKDISCLO_0121.html,2025-09-24T17:17:00Z,202509241317PR_NEWS_UKDISCLO_0121,,Manchester & London Investment Trust Plc - Annual Financial Report and Notice of AGM,MSCH,,,
2025-09-24T17:16:00Z,,0.0,,BWI,FRN Variable Rate Fix,,,https://data.fca.org.uk/artefacts/NSM/BWI/20250924125263.html,2025-09-24T17:16:00Z,20250924125263,,FRN Variable Rate Fix,RC,,,
2025-09-24T17:05:51Z,,2.4,,RNS,Strategy/Company/ Operations Update,549300II3MHI98ZLVH37,Acquisition or disposal of the issuer's own shares,https://data.fca.org.uk/artefacts/NSM/RNS/5834599.html,2025-09-24T17:05:51Z,5834599,,Russian Court Order - Update ,UPD,,,
2025-09-24T17:01:20Z,,0.0,,RNS,Director/PDMR Shareholding,213800TOLA726AITR960,,https://data.fca.org.uk/artefacts/NSM/RNS/5834591.html,2025-09-24T17:01:20Z,5834591,,Director and PDMR dealing - Replacement,DSH,,,
2025-09-24T17:00:00Z,,3.1,,BWI,Miscellaneous,529900S21EQ1BO4ESM68,Additional regulated information required to be disclosed under the laws of the United Kingdom,https://data.fca.org.uk/artefacts/NSM/BWI/20250924908213.html,2025-09-24T17:00:00Z,20250924908213,,"The Board of Directors of TotalEnergies Confirms the Relevance and Progress of the Company’s Strategy, as the Differentiated and Profitably Growing Energy Major",MSCU,,,
